,Column Name,Metrics,Cluster 0,Cluster 1,Cluster 2,Cluster 3,Overall
1,FREQ. SALDO,mean,0.8121818098307817,0.9875024411134903,0.8465407939793039,0.9307693217391305,0.8772707255865921
6,FREQ. COMPRAS,mean,0.7525449991941981,0.9433391862955032,0.12796302869238005,0.8261173464882943,0.49035054837988823
7,FREQ. COMPRAS À VISTA,mean,0.2490771273166801,0.7103242655246252,0.07657319896519285,0.2828029695652174,0.202457683575419
8,FREQ. COMPRAS PARCELADAS,mean,0.576665024979855,0.7877967687366167,0.05108144096895578,0.6558439909698996,0.3644373415642458
9,FREQ. ADIANTAMENTO CASH,mean,0.008976161966156325,0.13473815203426126,0.22227342873941675,0.06366951170568562,0.13514420033519556
