,Column Name,Metrics,Cluster 0,Cluster 1,Cluster 2,Cluster 3,Overall
0,SALDO,mean,113.0810504496374,4040.05387682227,1934.571435824318,1253.9174643846154,1564.4748276781006
2,COMPRAS,mean,1121.8873569701852,7062.325931477516,225.08677328316085,1114.1290568561872,1003.2048335195531
3,COMPRAS À VISTA,mean,532.1387107171636,4650.7226124197,183.83247648165568,564.6779866220736,592.4373709497207
4,COMPRAS PARCELADAS,mean,589.8445205479452,2412.8881156316916,41.39941674506115,549.9027759197323,411.0676446927374
5,ADIANTAMENTO CASH,mean,61.38460277840451,1631.906441314775,1608.5087508144402,362.2871732311037,978.8711124654749
10,TRANSAÇÕES ADIANTAMENTO CASH,mean,0.1716357775987107,4.4389721627409,5.361241768579492,1.3361204013377928,3.2488268156424582
11,TRANSAÇÕES COMPRAS,mean,17.261079774375503,84.0321199143469,2.2791627469426152,20.501003344481607,14.709832402234637
12,LIMITE CREDITO,mean,4643.837936170024,9818.736616702356,4229.409453176238,3977.76612276622,4494.449450364621
13,PAGAMENTOS,mean,1373.382990336825,7605.5105734432545,1505.147717793744,1289.5008865408026,1733.1438520248046
14,PAGAMENTOS MINIMOS,mean,169.79950536099918,2201.1133495593585,930.2074871388378,849.7542467956295,864.2065423050827
15,% PAGAMENTO TOTAL,mean,0.7812674971796939,0.22903814132762312,0.0312324268579492,0.05566289264214047,0.15371464849162012
